                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0234,                 5.1289,                 1.6391,                0.44984,                0.09714,                0.06591,                0.02739,                 2.2041,                 4.9349,                 1.6385,              0.0004756,              0.0004756,              0.0004756
                      2,                 2.0911,                 4.1574,                 1.7491,                0.42786,                0.10871,                0.05214,                0.02213,                 2.3446,                 4.2701,                 1.7181,             0.00085769,             0.00085769,             0.00085769
                      3,                 2.2282,                 3.4664,                 1.8387,                0.45476,                0.11771,                0.06556,                0.02282,                 2.4504,                 3.6166,                 1.8168,              0.0011455,              0.0011455,              0.0011455
                      4,                 2.1581,                 3.0124,                 1.7995,                0.46165,                0.16558,                0.08668,                0.03677,                 2.2415,                 3.0188,                 1.7111,              0.0010046,              0.0010046,              0.0010046
                      5,                 2.0932,                 2.7786,                 1.7596,                0.48391,                0.15484,                0.10033,                0.04402,                 2.2668,                  2.835,                 1.7437,              0.0010046,              0.0010046,              0.0010046
                      6,                 2.0089,                 2.6317,                 1.7574,                0.48167,                 0.1566,                0.10583,                0.04287,                 2.1859,                 2.7664,                 1.6885,             0.00086312,             0.00086312,             0.00086312
                      7,                 1.9559,                 2.4297,                 1.6829,                0.49869,                0.18686,                0.13365,                0.05807,                  2.138,                 2.6134,                 1.6092,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.8447,                 2.2501,                 1.6005,                0.51177,                0.19863,                0.13669,                0.06703,                 2.0072,                 2.5579,                 1.5585,             0.00058017,             0.00058017,             0.00058017
                      9,                 1.7568,                 2.1119,                 1.5233,                0.58221,                0.25696,                0.19674,                0.09211,                 1.9825,                 2.4202,                 1.5354,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.6998,                  2.019,                 1.4971,                0.53224,                0.27912,                0.21247,                0.10596,                 1.9545,                 2.2492,                  1.506,             0.00029723,             0.00029723,             0.00029723
