                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1774,                 6.7882,                 1.6756,                0.00178,                0.34978,                0.02454,                 0.0081,                 1.8056,                 6.7005,                  1.607,             0.00047418,             0.00047418,             0.00047418
                      2,                 2.1399,                 5.9766,                 1.6388,                 0.9009,                0.09091,                0.10452,                0.06094,                  1.999,                 6.6081,                 1.7065,             0.00085641,             0.00085641,             0.00085641
                      3,                 2.2881,                 6.1181,                 1.7487,                0.38425,                0.10996,                0.02938,                0.01156,                 2.1712,                 6.4974,                 1.9732,              0.0011443,              0.0011443,              0.0011443
                      4,                 2.2624,                 5.4151,                 1.7586,                0.53346,                0.07013,                0.06385,                0.02569,                 2.1907,                 6.2322,                 1.9399,              0.0010046,              0.0010046,              0.0010046
                      5,                 2.2225,                 5.1458,                 1.7778,                0.63331,                0.09091,                0.12104,                0.05926,                 2.2819,                 5.9247,                 2.0491,              0.0010046,              0.0010046,              0.0010046
                      6,                  2.209,                 4.8889,                  1.745,                0.73043,                0.14026,                0.15435,                 0.0788,                 2.0267,                 5.2888,                 1.8592,             0.00086312,             0.00086312,             0.00086312
                      7,                 2.1165,                 4.2455,                 1.6558,                 0.4406,                0.17662,                 0.0513,                0.02262,                 2.0421,                 5.1979,                 1.8681,             0.00072164,             0.00072164,             0.00072164
                      8,                 2.0252,                 4.2482,                 1.5942,                0.45234,                0.17662,                0.09293,                 0.0422,                 1.9129,                 4.9794,                  1.787,             0.00058017,             0.00058017,             0.00058017
                      9,                 1.9194,                 3.7455,                 1.5782,                0.52048,                0.20693,                0.11489,                0.05003,                 2.1172,                 5.5991,                 1.8724,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.9354,                 3.6395,                 1.5671,                 0.5113,                0.15758,                0.13023,                0.07182,                 1.9373,                 4.7092,                 1.7963,             0.00029723,             0.00029723,             0.00029723
