                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0234,                 5.1289,                 1.6391,                0.45677,                0.14161,                0.09099,                0.03635,                 2.1199,                 4.5289,                  1.708,              0.0004756,              0.0004756,              0.0004756
                      2,                 2.1343,                 4.0732,                 1.7793,                0.49376,                0.18433,                0.10889,                0.04299,                 2.1697,                 3.5798,                 1.7817,             0.00085769,             0.00085769,             0.00085769
                      3,                 2.2212,                  3.423,                  1.798,                0.47842,                0.19375,                0.11112,                0.04038,                 2.1788,                  3.046,                 1.7572,              0.0011455,              0.0011455,              0.0011455
                      4,                 2.0848,                 2.9032,                 1.7495,                0.50902,                0.18615,                 0.1414,                0.05686,                  2.091,                 2.7311,                 1.6968,              0.0010046,              0.0010046,              0.0010046
                      5,                 2.1039,                 2.7334,                 1.8005,                0.51737,                0.18584,                  0.136,                0.05629,                 2.1065,                 2.6593,                 1.7432,              0.0010046,              0.0010046,              0.0010046
                      6,                 2.0208,                 2.5469,                 1.7111,                0.52122,                0.25171,                0.17439,                0.07474,                 1.9874,                 2.4381,                 1.6067,             0.00086312,             0.00086312,             0.00086312
                      7,                 1.8928,                 2.3216,                 1.6189,                0.58773,                0.25527,                0.19555,                0.08888,                 1.9586,                 2.2994,                 1.5996,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.8531,                 2.2135,                 1.6145,                0.53482,                0.26464,                0.18921,                0.08635,                 1.9016,                 2.3841,                  1.578,             0.00058017,             0.00058017,             0.00058017
                      9,                 1.7488,                 2.1256,                  1.531,                0.56041,                0.27665,                0.21219,                0.11105,                 1.8474,                 2.1602,                 1.5232,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.6779,                 1.9829,                 1.4789,                0.58887,                0.31132,                0.24293,                0.12246,                 1.7758,                 2.0933,                 1.4879,             0.00029723,             0.00029723,             0.00029723
