                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7792,                 4.1515,                 1.4653,                0.47283,                0.09833,                0.05774,                0.02594,                 2.0787,                 4.0452,                 1.6434,              0.0004723,              0.0004723,              0.0004723
                      2,                 1.9956,                 2.7128,                 1.6161,                0.50952,                0.18498,                0.10723,                0.04257,                 2.2091,                 4.3518,                 1.7592,             0.00085472,             0.00085472,             0.00085472
                      3,                 2.1915,                 2.5194,                  1.761,                0.69196,                0.16416,                0.19323,                0.08272,                  2.242,                 2.8335,                 1.7434,              0.0011428,              0.0011428,              0.0011428
                      4,                 2.1675,                 2.3824,                 1.7137,                0.43739,                0.19272,                0.21107,                0.09499,                 2.1159,                 2.4387,                 1.6195,              0.0010046,              0.0010046,              0.0010046
                      5,                 2.0746,                 2.1993,                 1.6901,                0.46763,                0.28481,                0.25583,                0.11673,                 2.0377,                 2.4751,                 1.6434,              0.0010046,              0.0010046,              0.0010046
                      6,                 2.0074,                 2.0807,                 1.6483,                0.61294,                 0.2789,                0.30856,                0.14684,                  2.018,                 1.9791,                 1.5871,             0.00086312,             0.00086312,             0.00086312
                      7,                 1.8706,                 1.9171,                 1.5677,                0.54608,                0.34122,                0.31566,                0.15408,                 1.9397,                 1.8419,                 1.5202,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.7844,                 1.7103,                 1.4862,                0.62347,                0.33548,                0.38222,                0.20306,                 1.7909,                 1.6409,                 1.4449,             0.00058017,             0.00058017,             0.00058017
                      9,                 1.6559,                 1.5719,                 1.4339,                0.73738,                0.33589,                0.38615,                0.20761,                 1.7396,                 1.7006,                 1.4285,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.5886,                 1.4849,                  1.379,                0.69704,                0.37295,                0.43116,                0.23346,                 1.6856,                 1.5426,                 1.4267,             0.00029723,             0.00029723,             0.00029723
