                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8463,                    3.4,                 1.5968,                0.57166,                0.15562,                0.13078,                0.05741,                 2.2302,                  3.203,                 1.7712,             0.00047501,             0.00047501,             0.00047501
                      2,                 2.1051,                 2.5468,                   1.83,                0.45467,                0.14035,                0.08454,                0.03424,                 2.3691,                 2.8554,                 1.8532,             0.00085716,             0.00085716,             0.00085716
                      3,                 2.1294,                 2.5336,                 1.8826,                0.12096,                0.21605,                0.11924,                0.04319,                 2.2246,                 2.7665,                 1.7213,               0.001145,               0.001145,               0.001145
                      4,                 2.0991,                 2.3451,                 1.8354,                0.22004,                 0.1709,                0.15449,                0.05885,                 2.2982,                 2.6486,                  1.825,              0.0010046,              0.0010046,              0.0010046
                      5,                 2.0703,                 2.2424,                 1.8309,                0.27033,                0.20676,                0.17053,                0.07384,                 2.1672,                 2.4146,                 1.7059,              0.0010046,              0.0010046,              0.0010046
                      6,                 1.9564,                 2.0793,                 1.7562,                0.30113,                0.24181,                0.20882,                0.09444,                 2.0549,                  2.347,                 1.6769,             0.00086312,             0.00086312,             0.00086312
                      7,                 1.8653,                 1.9038,                 1.6992,                0.50624,                0.26463,                0.24212,                0.11468,                 2.0141,                 2.0887,                 1.6021,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.7261,                 1.7394,                 1.5775,                0.56536,                0.28575,                0.28905,                0.14595,                 1.9151,                  1.973,                 1.5435,             0.00058017,             0.00058017,             0.00058017
                      9,                  1.643,                 1.5916,                 1.5181,                 0.5047,                0.31475,                0.31843,                0.16261,                 1.8399,                 1.9528,                 1.4814,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.5567,                 1.4784,                 1.4805,                 0.4715,                0.38812,                0.35062,                 0.1777,                 1.7565,                 1.8124,                 1.4738,             0.00029723,             0.00029723,             0.00029723
